Id	Buckwalter	Arabic	English	Meanings	BanglaMeanings
1078	qrr	قرر	qāf rā rā	 to be or become cool, remain quiet, be steadfast, be firm, refresh, be stable,  be firm, receive satisfy, affirm, agree, settle, last. qarar - stability, a  fixed or secure place, depository, place ahead. qurratun - coolness, delight.  aqarra (vb. 4) - to confirm, cause to rest or remain. istaqarra (vb. 10) - to  remain firm. mustaqirrun - that which remains firmly fixed or confirmed, in  hiding, is lasting, which certainly comes to pass, which is settled in its  being/goal/purpose. mustaqar - firmly fixed/established, sojourn, abode.  qurratun - coolness, refreshment, source of joy and comfort. qawarir (pl. of  qaruratun) - glasses, crystals.	
1079	qrTs	قرطس	qāf rā ṭā sīn	 to shoot, take aim, hit the mark, perish. qirtas (pl. qaratis) - parchment,  what one writes upon, sheet of paper, scroll of paper, writing, book, skin used  as target.	
1080	qrE	قرع	qāf rā ʿayn	 to knock, strike, beat, hit the butt, gnash (the teeth), strike with severity.  qari'atun - great calamity that destroys a nation, adversity that comes  suddenly, a name of the day of resurrection, great abuse.	
1081	qrf	قرف	qāf rā fā	 to earn, peel (the bark or skin), commit, perform (a crime, foolish act),  acquire, gain, learn, fabricate, mix truth with falsehood, transgress.&nbsp; 	
1082	qrn	قرن	qāf rā nūn	 to join one thing with another, couple. qarnin/qarnan - generation, century.  qarn (dual qarnani, oblique qaraini, plu. qurun) - horn, trumpet. Often used to  symbolise strength/power/glory. qarunun (pl. qurana) - mate, comrade, intimate  companion. muqarranin - bound together. muqrinina - capable of subduing.  muqtarinin - those formed in serried ranks, accompanying ones. Dzu al Qarnain (Zulqarnain/dhul-qarnayn) - the two horned one, one belonging to  two century, or two generation, master of two states/kingdoms. The surname of  Cyrus (Darius 1) the ruler of Media and Persia which were combined into a single  kingdom under him. Qarun (Korah) - he was fabulously rich and stood high in favour of Pharaohs.	
1083	qry	قري	qāf rā yā	  To entertain a guest, that with which a guest is entertained. To collect, run  to/into. To explore; investigate; with a much and diligent search, city/town.	
1084	qsr	قسر	qāf sīn rā	 to force any one, compel. qaswarat (pl. qasawiratun) - lion, sturdy, powerful.	
1085	qss	قسس	qāf sīn sīn	 to slander any one, think evil, seek after a thing, pasture cleverly, become a  priest, become good herdsman. qissis - savant, Christian, priest, devoted to  learning.	
1086	qsT	قسط	qāf sīn ṭā	 to swerve from justice, act or deal unjustly/wrongfully. qasuta - to act  justly. qist - justice, equity. qasit - one who acts unjustly/unrighteously.  aqsatu - more just. aqsata (vb. 4) - to be just. muqsitun - one who observes  justice.	
1087	qsTs	قسطس	qāf sīn ṭā sīn	 balance/scale.	
1088	qsm	قسم	qāf sīn mīm	 to divide, dispose, separate, apportion, distribute. qasamun - oath. qismatun  - partition, division, dividing, apportionment. maqsumun - divided/distinct.  muqassimun (vb. 2) - one who takes oath, who apportions. qasama (vb. 3) - to  swear. aqsama (vb. 4) - to swear. taqasama (vb. 6) - to swear one to another.  muqtasimun (vb. 8) - who divides. istaqsama (vb. 10) - to draw lots. tastaqsimu  - you seek division. 	
1089	qsw	قسو	qāf sīn wāw	 to be or become hard, hardness, harder, unyielding, pitiless.	
1090	q$Er	قشعر	qāf shīn ʿayn rā	 to snipe, shudder, shiver, tremble, become rough.	
1091	qSd	قصد	qāf ṣād dāl	 to intend, be moderate, steer a middle course, go or proceed straight away,  aim at, intend, repair, purpose, act moderately. qasdun - the right way, middle  path, right direction, leading the right path, aim, intention, straight and  right road, just. qasidun - easy or moderate (journey). muqtasidun - one who  keeps to the right and moderate path, who falls between the two extremes or  upper limit and lower limit, of good intentions.	
1092	qSf	قصف	qāf ṣād fā	 to roar and resound (thunder), rumble. qasifun - heavy gale of wind, hurricane,  fierce storm, raging tempest.	
1093	qDb	قضب	qāf ḍād bā	 to cut off, strike with a rod, qadban - vegetable, edible plants.	
1094	qDy	قضي	qāf ḍād yā	 to finish entirely by word/deed, decreed/ordained/pronounced/decide judicially,    pass a sentence, create, bring to an end,  attained/obtained/accomplished/satisfied, execute, settle, discharge, to make  known, reveal.	
1095	qTT	قطط	qāf ṭā ṭā	 to cut, mend, make portions. qittun - portion, share.	
1096	qTE	قطع	qāf ṭā ʿayn	 to cut/sever/disunite/separate/detach, to disable in prosecuting, unable to  proceed in, withdrew, break down, perish/cease/finish/fail, cut short / stop,  intercepted/interrupted, put an end/stop to, a piece/bit/part/portion cut off  from a whole, herd, distinct portion.	
1097	qTf	قطف	qāf ṭā fā	 to gather (grapes), pluck (fruits), snatch, cluster of fruit.	
1098	qTmr	قطمر	qāf ṭā mīm rā	 husk of a date-stone, thin skin which envelopes a date-stone, integument of a  date-stone.	
1099	qEd	قعد	qāf ʿayn dāl	    to sit down, remain behind, to hold back, to tarry, lie in wait, sit still,    remain unmoved, desist, abstain, refrain, lurk in ambush, set snares, neglect,    act of sitting, foundations/bases, women who are past child bearing age, elderly    spinsters past child bearing age, one who sits at home, one who sits still,    seat or place of sitting, station, encampment.	
1100	qEr	قعر	qāf ʿayn rā	 to dig deep, descend, sink,  reach the bottom, cut empty, cut from the root, crush. taqa'ara - to be hollow,  deep, felled. inqa'ara - to be uprooted. munqa'ir - that which is torn up by the  roots, uprooted one, uprooted and hallowed.	
1101	qfl	قفل	qāf fā lām	 to preserve, store up. qaffala - to lock up. qufl - lock/bolt.	
1102	qfw	قفو	qāf fā wāw	  to go after, to pursue, walk behind, follow in the track of, follow the footsteps of, to  cause to follow or succeed.	
1103	qlb	قلب	qāf lām bā	      To turn, return, repentance and grief, turn a thing upside down, change, change direction, turn it    about to it's face and back, turn inside out, change condition. qalb = heart. mutaqallabun - time or place where any one is busily  employed. munqalabin - place or time of turmoil, reverse, turn, the end.  munqalibun - one who returns.	
1104	qld	قلد	qāf lām dāl	 twisted/wound/wreathed    a thing, rope, necklace, garland, collar, bracelet, to hang up (e.g. sword on belt),    piece of skin, sandal.   Irrigated, irrigated land.   Lane's Lexicon on 5:2 - prefects or the like with offices of administration,    permanent badge (of favour), authority, mode of order-giving, impose upon a    thing.   Management.   Drown, to seize, close upon, cover.   Key, phrase: &quot;I threw to him the keys of the affairs&quot; meaning &quot;I    committed to him disposal/management of the affairs&quot;, treasure, repository/store-room/treasury/magazine,    the place of the suspended thing (e.g. neck, belt), a chief upon whom are imposed    the affairs of the people.	
1105	qlE	قلع	qāf lām ʿayn	 to remove, extract, abate, pluck, snatch of, drive away, dismiss, take off,  swallow, cease, wrap, collect, refrain, withdraw, abandon, leave off. aqla'a  (vb. 4) - to abate and stop, have no trace. 	
1106	qll	قلل	qāf lām lām	 to  be few in number, small in quantity, rare. qalilun - few, little, small, rare,  seldom. aqall - fewer, poorer. qallala - to appear as few.	
1107	qlm	قلم	qāf lām mīm	 to cut, pierce. qalam - pen, headless arrow used in casting lots.	
1108	qly	قلي	qāf lām yā	to hate, detest, abhor, dislike, forsake.	
1109	qmH	قمح	qāf mīm ḥā	 to raise the head and refuse to drink (a camel). muqmahun (vb. 4) - one whose  head is forced up so that he cannot see, stiff-necked, proud.	
1110	qmr	قمر	qāf mīm rā	 to be white. qamarun - moon (especially from the 3rd to 26th night).	
1111	qmS	قمص	qāf mīm ṣād	  to canter or bound. qamis - long shirt.	
1112	qmTr	قمطر	qāf mīm ṭā rā	 to frown, scorn, knit the brow, show displeasure or distress.	
1113	qmE	قمع	qāf mīm ʿayn	 to beat on the head, subdue, tame, goad (an elephant) on the head, persecute,  overpower, apply a mace or whip or grips, curb, restrain, hold in subjection,  bring to submission. miqma'ah - mace, red whip.	
1114	qml	قمل	qāf mīm lām	 to swarm with lice or vermin. qummalun - lice, tick, small ants,  red-winged insects.	
1115	qnt	قنت	qāf nūn tā	  to be devout, obedient, fully and wholeheartedly in all humility to stand long  in prayer. qanitun - one who is fully, wholehearted and in all humility devout  and obedient.	
1116	qnTr	قنطر	qāf nūn ṭā rā	 to have a heap of wealth, have a large sum of money, have treasures, have  talent. qintar - heap of wealth/treasure/talent, ancient unit of money and  weight.	
1117	qnE	قنع	qāf nūn ʿayn	 to be content, satisfied with what is within one's approach, not looking for  more, beg with some reservation, beseech earnestly. qani'un (pl. qunna'un) - one  who is deserving charity but does not beg, content. muqni'un (vb. 4) - one who  lifts up the head. aqna'a - to raise (the head), outstretched neck.	
1118	qnw	قنو	qāf nūn wāw	 to get, acquire, appropriate a thing, create. qinwan - bunches or clusters of  dates.	
1119	qny	قني	qāf nūn yā	 to acquire a thing, bring into his possession and not to depart from his hand.  aqna (vb. 4) - to cause to acquire, make contended, satisfy, preserve, make  satisfy with a given thing.	
1120	qhr	قهر	qāf hā rā	 to oppress, compel against one's wishes, subdue, overcome, become superior in  power or force, overbear, get mastery over, constrain, treat harshly, thwart.  qahir - master, victorious, one who subdues.	
1121	qwb	قوب	qāf wāw bā	 to dig a hole like an egg, draw near, fly away. qab - space between the middle  and the end of a bow, portion of a bow that is between the part which is grasped  by the hand and the curved extremity, space of one extremity of the bow to the  other, short measure of space/length/distance (often used to imply closeness of  relationship).	
1122	qwt	قوت	qāf wāw tā	 to nourish/feed, nourishments/sustenances/provisions. muqitan -  protector/controller/observer, controller of distribution, powerful keeper, who  watches.	
1123	qws	قوس	qāf wāw sīn	 to compare by measurement, precede anyone, measure a thing, imitate  anyone. qausun - bow.	
1124	qwE	قوع	qāf wāw ʿayn	 to cover, lag behind, walk cautiously, even, soft, depressed, desert,  waterless, barren place, desolate.	
1125	qwl	قول	qāf wāw lām	 to  say/speak, to call, to be named, word/speech, utterance, a thing said, greeting,  discourse, one who says/speaks. To inspire/transmit/relate/answer/think/profess,  emit an opinion on, indicate a state or condition or circumstance. qa'ilun -  speaker, indicator.	
1126	qwm	قوم	qāf wāw mīm	 stand still or firm, rose/stand up, managed/conducted/ordered/regulated/superintended,  established, made it straight/right, maintain/erect/observe/perform, set up,  people/community/company, abode, stature/dignity/rank. aqama - to keep a thing  or an affair in a right state.	
1127	qwy	قوي	qāf wāw yā	 to be, become strong, prevail, be able to do, be powerful, be vigorous, be  forceful. quwwatun (pl. quwan) - power, strength, vigour, resolution, firmness,  determination. qawun - desert. aqwa - to stay in desert. muqwin - dwellers of  desert/wilderness (it is derived from the verb qawiya which means: it became  desolate or deserted).	
1128	qyD	قيض	qāf yā ḍād	 to break the shell (chicken), be broken, split, hallow, assimilate, assign.  qayyada (vb. 2) - to be destined, be assigned, prepare for any one.	
1129	qyl	قيل	qāf yā lām	 to make a siesta at noon, sleep in the middle of the day. qailun - one who  takes siesta at midday. maqil - place of repose at noon, resting place.	
1130	kAs	كأس	kāf hamza sīn	 drinking-cup when there is in  it something to drink. Sometimes it can refer to the drink itself, e.g. wine. If  there is no beverage in it, the drinking cup is called  Qadehun (root: Qaf-Dal-Ha).	
1131	kbb	كبب	kāf bā bā	  To invert, overthrow, throw  one with the face to the ground, throw face downwards, prostrate anyone on (the  face), he prostrated him, he bent his head towards the ground, to fall down,  turn a thing upside down. Charge/onslaught/assault, in war.	
1132	kbt	كبت	kāf bā tā	 To abase, throw down, restrain, overwhelm, prostrate, expose ignominy, humble,  vanquish with humiliation, be laid low and humbled, cause to perish.	
1133	kbd	كبد	kāf bā dāl	  hit/hurt/smote/wound his liver, affect anyone painfully (e.g. by intense cold),  purpose a thing. Large/thick/big in the middle. Kabida / Yakbudu : To have complaint/pain of the liver, face difficulty, struggle against  difficulty/severity/trouble, reach in the middle. Kabad plu. Akba&#8217;d : Liver; middle part; become in the  middle or main part of something, Misery/Distress/Affliction/Trouble/Obstacle;  Cavity of the belly; Hard struggle; Inside/Interior (e.g. of the earth); Centre;  Side.	
1134	kbr	كبر	kāf bā rā	 To be hard, become hard, be grievous, grow up, be great.	
1135	kbkb	كبكب	kāf bā kāf bā	 to prostate  on the face, turn a thing upside down, be hurled/thrown into.	
1136	ktb	كتب	kāf tā bā	 he wrote it, to dictate it, prescribe/appoint/ordain, judged / passed sentence  / decreed, drew/brought together, collected, conjoined / bound, he sewed it,  what is written (e.g. of law), mode/manner of writing, book, bookseller, a thing  in which or on which one writes, record/register/writ, revealed scripture, a  writer/scribe/secretary, an army/military force, troop.	
1137	ktm	كتم	kāf tā mīm	 To conceal,  restrain (anger), hide, keep back (evidence), hold.	
1138	kvb	كثب	kāf thā bā	 To gather, heap up, make up, collect into one place.	
1139	kvr	كثر	kāf thā rā	 To surpass in number or quantity, increase, multiply, happen often; To be  much, many, numerous.	
1140	kdH	كدح	kāf dāl ḥā		
1141	kdr	كدر	kāf dāl rā	 To be muddy, be obscure, lose light, fall.	
1142	kdy	كدي	kāf dāl yā	 To restrain, detain, give little, stop hand, be niggardly.	
1143	k*b	كذب	kāf dhāl bā	 To lie, say what is not a fact, lie to falsely invent, tell lies about or  against, fabricate a lie, relate a lie, say a falsehood, be wrong, be cut off,  deceive, disappoint the expectation of.	মিথ্যা বলে, মিথ্যা সাক্ষি দেয়, প্রতারণা করে, নিরাশ করে
1144	krb	كرب	kāf rā bā	 To grieve, afflict, overburden, distress, twist a rope, tighten.	
1145	krr	كرر	kāf rā rā	 To return to, return successively, run against, repeat, come back, follow by  turns, be wound (thread).	
1146	krs	كرس	kāf rā sīn	 To found (a building); to gather.	
1147	krm	كرم	kāf rā mīm	 To be productive, generous, precious, valuable,  honourable, noble, All-Generous, Most Generous	
1148	krh	كره	kāf rā hā	 To find difficult, dislike, disapprove, feel aversion to, be averse from,  loathe, abhor, hate, detest, be unwilling.	
1149	ksb	كسب	kāf sīn bā	 To gain, acquire, seek after, gather (riches), do, commit, earn.	
1150	ksd	كسد	kāf sīn dāl	 To be dull  (market), sell badly, slacken, fail in finding customers. 	
1151	ksf	كسف	kāf sīn fā	 fragments, pieces, lumps, to shatter, to make into fragments	
1152	ksl	كسل	kāf sīn lām	 To be lazy, idle, slothful, sluggish, listless, languish.	
1153	ksw	كسو	kāf sīn wāw	Siin-Ya) = To dress, clothe.	
1154	k$T	كشط	kāf shīn ṭā	 To remove, take off (the cover), strip, scrape, skin (a camel), discover,  unveil, be laid bare.	
1155	k$f	كشف	kāf shīn fā	 To pull away, remove, take off, open up, lay open lay base, uncover.	
1156	kZm	كظم	kāf ẓā mīm	 To shut, stop, abstract, suppress  one&#8217;s anger, choke, tight or fill something with a check, abstain from chewing  the end.	
1157	kEb	كعب	kāf ʿayn bā	 swell/prominent/protuberant/projection/budding (common examples include a  woman's breasts), jointed-stem, fold, went away, joint/juncture/division of  bones (more commonly the ankle bone), tarsus (in animals), swift,  eminence/nobility/glory, anything elevated, square/cubic house/chamber,  square-form. Quote from Lane's lexicon: "a house or temple belonging to the tribe of Rabee'ah, who used to compass it, or perform  circuits round it (as is done round the Kabbeh of Mekkeh)".	
1158	kfA	كفأ	kāf fā hamza	 To equal, compare.	
1159	kft	كفت	kāf fā tā	 To gather together, draw things to itself, hasten, be quick and swift in  running, urge vehemently, fly, contract, grasp, take.	
1160	kfr	كفر	kāf fā rā	 to conceal, to cover, to reject,  to disbelieve, to be thankless, unthankful, ungrateful, to disown, deny,  faithless, black horse, dark night, tiller/farmer.	অস্বীকার, অকৃতজ্ঞ, গোপন করা
1161	kff	كفف	kāf fā fā	 To withhold, desist, refrain from, withdraw, keep back, hold out the hand.	
1162	kfl	كفل	kāf fā lām	 To take care of, nourish, bring up for another, be guardian of, be responsible  for, entrust, stand security or surety.	
1163	kfy	كفي	kāf fā yā	 To be enough, sufficient.	
1164	klA	كلأ	kāf lām hamza	 To protect, keep guard, keep safe.	
1165	klb	كلب	kāf lām bā	 To bark (for days).	
1166	klH	كلح	kāf lām ḥā	To put on a sour, austere, harsh, astringent, stern, grave look; look with  frown, wear a grin of pain and anguish, express foolish satisfaction, endure  pain, show disappointment, grin with lips, make contracted face and its  surrounding parts; stern, severe, forbidding look. 	
1167	klf	كلف	kāf lām fā	 To take pains, be zealous, be engrossed by an object.	
1168	kll	كلل	kāf lām lām	 To lose father and child, lose direct heirs, be weary, tired, weak, have only  remote relations.	
1169	klm	كلم	kāf lām mīm	 To speak,  express.	
1170	klw	كلو	kāf lām wāw		
1171	kml	كمل	kāf mīm lām	 complete, in  total, in all, perfect achieved.	
1172	kmm	كمم	kāf mīm mīm	 sheaths (e.g. of a fruit tree)	
1173	kmh	كمه	kāf mīm hā	 one who is blind	
1174	knd	كند	kāf nūn dāl	 ungrateful	
1175	knz	كنز	kāf nūn zāy	 to collect and store up, treasure, bury in the ground a treasure. 	
1176	kns	كنس	kāf nūn sīn	Setting planets.	
1177	knn	كنن	kāf nūn nūn	 To cover, conceal, keep secret, keep from site, hidden, refuge, veil/covering	
1178	khf	كهف	kāf hā fā	To fill caves or places of protection.	
1179	khl	كهل	kāf hā lām	 To reach old mature age, be full-grown, be of the age when a person&#8217;s hair  becomes intermixed with hoariness, be of the age between thirty and sixty years  or of middle age.	
1180	khn	كهن	kāf hā nūn	 To be priest or soothsayer, pretend to be diviner.	
1181	kwb	كوب	kāf wāw bā	Alif-Ba) = To drink out of a goblet.	
1182	kwd	كود	kāf wāw dāl		
1183	kwr	كور	kāf wāw rā	Alif-Ra) = To wind, twist.	
1184	kwkb	كوكب	kāf wāw kāf bā	Alif-Kaf-Ba) = To shine, glisten.	
1185	kwn	كون	kāf wāw nūn	Alif-Nun) = To be, exist, happen, occur, take  place, become, be such or so. 	
1186	kwy	كوي	kāf wāw yā	Alif-Ya) = To burn, sear, scorch, brand,  cauterize.	
1187	kyd	كيد	kāf yā dāl	Alif-Dal) = To be about to, be just on the  point of, be well nigh, intend, wish.	
1188	kyf	كيف	kāf yā fā		
1189	kyl	كيل	kāf yā lām	Alif-Lam) = To measure, weigh, compare.	
1190	kyn	كين	kāf yā nūn	Alif-Nun) = To submit, humble, resign.	
1191	lAlA	لألأ	lām hamza lām hamza	 To shine, glitter, blaze, be bright, pearl, a perfect/complete rejoicing.	
1192	lbb	لبب	lām bā bā	 To    be gifted with a penetrative mind, be kind hearted, tender/affectionate/compassionate,    remain/dwelt &amp; kept to it, expert/clever, insightful, posessed of understanding/intellect,    mind.	
1193	lbv	لبث	lām bā thā	 to delay, tarry, sojourn, to pause/wait/expect/stop/remain, was patient.  labitha vb.  (I) perf. act.  2:259, 2:259, 2:259, 10:16, 11:69, 12:42, 17:52, 18:12, 18:19, 18:19, 18:19,  18:25, 18:26, 20:40, 20:103, 20:104, 23:112, 23:113, 23:114, 26:18, 29:14,  30:55, 30:56, 34:14, 37:144  impf. act. 10:45, 17:76,    46:35, 79:46, 78:23 talabbatha  vb. (V) - perf. act. 33:14	
1194	lbd	لبد	lām bā dāl	    stuck/clave/adhered (to the ground/thing), remain fixed/steady and looked or    considered, remain/continue/dwelt/stay in a place, become intermingled/compacted/coherent,    make together, become felted, aquat, swarm, stifling crowd, that which is packed    densely, abundant/much.	
1195	lbs	لبس	lām bā sīn	    To wear/cover, put on a garment, be clothed in, envelop, conceal, conformed,    cloak/disguise, that which is worn.   Obscure/confuse/confound, mystify, render a thing obscure and confused to another.   Employed/busied/occupied himself with/within a thing, become involved/entangled/complicated,    to mix/mingle/accompany a thing. labasa  vb. (I) perf. act. 6:9 impf. act. 2:42, 3:71, 6:65, 6:82,    6:137  labs n.vb - 50:15  labisa    vb. (I) - 16:14, 18:31, 35:12, 44:53  labus    n.m. - 21:80  libas n.m. - 2:187,    2:187, 7:26, 7:26, 7:27, 16:112, 22:23, 25:47, 35:33, 78:10] LL, V7, p: 175, 176	
1196	lbn	لبن	lām bā nūn	 milk	
1197	ljA	لجأ	lām jīm hamza	 To take refuge, retreat, shelter, protection, flee to, preservation, lodging,    concealment, to rely upon and seek aid, defense.	
1198	ljj	لجج	lām jīm jīm	 To exceed the limit, persist obstinately, persevere, insist upon a thing,    be querulous, continue in opposition/contention/litigation/wrangling.   Main sea or body of water, fathomless deep sea, great expanse of sea of which    the limits cannot be seen, great &amp; confused.   Fluctuating, come and go repeatedly, stammer/stutter in speech, confused noise/voices.   The side of a valley/shore/sea, mirror/silver, sword, rugged part of a mountain.	
1199	lHd	لحد	lām ḥā dāl	    To make a niche or receptacle for a corps, a trench.   Deviate/swerve from, stray from the right path, act unfairly, to blaspheme/dispute,    make covert hints, to use profanity, to pervert/distort/violate/decry.   Lodging/refuge/concealment/protection.	
1200	lHf	لحف	lām ḥā fā	 To    cover with a cloak or a sheet, wrap in a garment, single lining garment (i.e.    not doubled or stuffed), to be importune, demand with importunity, persist.	
1201	lHq	لحق	lām ḥā qāf	    To overtake, reach, attain, catch up, cleave, join, become or made himself on    a par, ensue, affiliate, coherent with. lahiqa vb. (I) impf. act. 3:170, 62:3  alhaqa  vb. (IV) perf. act. 34:27, 52:21 impv. 12:101, 26:83 LL, V8, p: 262	
1202	lHm	لحم	lām ḥā mīm	    flesh/meat, to feed with flesh, skin/hide/cloth.	
1203	lHn	لحن	lām ḥā nūn	    To incline, modulate, make a change in the tone, way of speaking, tenor not    to speak straight, oblique pronounciation, speak incorrectly, intent of speech,    speech with a mode showing speakers inner feeling contrary to the obvious meaning    of the word.	
1204	lHy	لحي	lām ḥā yā	 Beard,    part of turban under lower jaw, jaw-bone, bark of a tree, skin of grapes.	
1205	ldd	لدد	lām dāl dāl	    To hold an alteration with anyone, quarrel, contend violently, stubborn/rigid/contentious,    withhold, hinder.	
1206	ldn	لدن	lām dāl nūn	    At; near; with; from; presence; in the presence of; for. Ladun: Particle of    a place or preposition.	
1207	l**	لذذ	lām dhāl dhāl	To be sweet (or savoury), delicious, delightful, pleasant, gratifying the senses,    find agreeable, take pleasure/delight/enjoyment in. laththa  vb. (1) impf. act. 43:71	
1208	lzb	لزب	lām zāy bā	    To stick/cling, adhere, be fixed firmly/closely/constantly, intermixed, cohered    and hardened (clay), strait/narrow, little in quantity, adversity/difficulty/drought/distress,    indispensable/necessary, very avaracious/tenacious/niggardly.  lazaba vb. (1) pcple. act. 37:11 LL, V7, p: 186, 187	
1209	lzm	لزم	lām zāy mīm	 To stick close to, to cling, associate, adhere, belong, intend, fasten, remain,    made incumbent/obligatory.	
1210	lsn	لسن	lām sīn nūn	  a tongue/speech/language, to seize one by the tongue, bite one in words, make a  thing sharp pointed, eloquent speech.	
1211	lTf	لطف	lām ṭā fā	    To be delicate, subtle, slender, graceful, courtesy, elegant, gentle, kind,    fine, nice, sooth/caress, gift/present. latif n.m. - 6:103, 12:100, 22:63, 31:16, 33:34,    42:19, 67:14  talattafa vb. (V)  impf. act. 18:19 LL, V8, p: 264 	
1212	lZy	لظي	lām ẓā yā	 To    blaze, stir (fire), burn with (anger), furnace, flame.	
1213	lEb	لعب	lām ʿayn bā	 played/sported/gamed/jested/joked, passtime (in an unserious thing), engage  in idle sport without meaning or purpose, slaver/drivel, stupid/fool. la'iba vb. (1) impf. act. 6:91, 7:98, 9:65,  12:12, 21:2, 43:83, 44:9, 52:12, 70:42 n.vb. 5:57, 5:58, 6:32,  6:70, 7:51, 29:64, 47:36, 57:20 pcple. act. 21:16, 21:55,  44:38	
1214	lEn	لعن	lām ʿayn nūn	    To drive away, execrate, deprive one of mercy and blessings, condemn, curse.   The base or lower part of a palm-tree.  la'ana vb. (I) perf. act. 2:88, 4:46, 4:47, 4:52, 4:93, 4:118, 5:13, 5:60, 7:38, 9:68, 33:57, 33:64,  47:23, 48:6 impf. act. 2:159, 2:159,  4:47, 4:52, 29:25 impv. 33:68 perf. pass. 5:64, 5:78, 24:23 n.vb. 33:68 pcple. act. 2:159 pcple. pass. 17:60, 33:61   la'nah n.f. - 2:89, 2:161, 3:61, 3:87,  7:44, 11:18, 11:60, 11:99, 13:25, 15:35, 24:7, 28:42, 38:78, 40:52   LL, V8, p: 265  = Lam-Ba-Ba = To    be gifted with a penetrative mind, be kind hearted, tender/affectionate/compassionate,    remain/dwelt &amp; kept to it, expert/clever, insightful, posessed of understanding/intellect,    mind.	
1215	lgb	لغب	lām ghayn bā	 To be fatigued, weary, weak, tired, spoiled/marred.  laghaba vb. (1) n.vb. 35:35, 50:38 LL, V7, p: 191, 192	
1216	lgw	لغو	lām ghayn wāw	 To talk nonsense speech, to make mistake consciously or unconsciously, use vain    words, idle talk, make noise and raise a hue and cry (to interrupt), talk frivolously    (to drown the hearing of another), a slip in talk, unintentional talk, babble. laghiya  vb. (I) impv. 41:26  n. vb. 2:225, 5:89, 19:62, 23:3, 25:72, 28:55, 52:23,  56:25, 78:35     laghiyah n.f. - 88:11  = Lam-ha-Ba = To    blaze fiercely/intensely, inflame, burn with anger, Ardour of fire, flame, fiery    tempered person, abu lahab - father of flame.   A gap/space between two mountains, a cleft/fissure in a mountain.   Nickname of the Holy Prophet's uncle, whose real name was Abdul Uzza. [[This is a  traditional understanding may conflict with 49:11. Does 'abu lahab'    describe a specific person or a personality archetype/model?]]	
1217	lft	لفت	lām fā tā	 To    turn aside/round, pervert, bend, look back/about, wring, twist, avert (the face)    from.	
1218	lfH	لفح	lām fā ḥā	 To    burn/scorch/hurt/smite/strike.	
1219	lfZ	لفظ	lām fā ẓā	 To    cast forth, eject, reject, pronounce/utter/spoke, express, remainder/residue.  lafaza vb. (1) impf. act. 50:18 LL, V7, p: 194, 195	
1220	lff	لفف	lām fā fā	 To    roll up, fold, wrap, involve, conjoin, be entangled (trees), be heaped, joined    thick/dense and luxuriant/abundant.	
1221	lfw	لفو	lām fā wāw	 to  find/encounter	
1222	lqb	لقب	lām qāf bā	    To give nickname to another, revile, give name of reproach, call one by a nickname/by-name/surname.	
1223	lqH	لقح	lām qāf ḥā	To    impregnate, vaccinate, fertilize, conceive, receive, fecundation.	
1224	lqT	لقط	lām qāf ṭā	    To pick up/out, take up, took it, raised it, gather, glean, collect, acquire,    anything that is scattered.  iltaqata vb.  (8) perf. act. 28:8 impf. act. 12:10 LL, V7, p: 197, 198, 199	
1225	lqf	لقف	lām qāf fā	    To catch up hurriedly, seize, swallow up quickly, destroy, undo, eat up, catch    and retain, collapse, fall upon the enemy, crumble down.  laqifa vb. (1) impf. act. [7:117, 20:69, 26:45] LL, V8, p: 266	
1226	lqm	لقم	lām qāf mīm	 Take in the mouth, clog up, obstruct (a path), stop, gobble, ate quickly,    morsel/mouthful, kiss/embrace/clasp.	
